radius,theta,x,y
100,0,320,140
100,0,318,140
100,0,316,140
100,0,314,140
100,0,313,140
100,0,311,140
100,0,309,140
100,0,307,140
100,0,306,140
100,0,304,141
100,0,302,141
100,0,300,141
100,0,299,142
100,0,297,142
100,0,295,142
100,0,294,143
100,0,292,143
100,0,290,144
100,0,289,144
100,0,287,145
100,0,285,146
100,0,284,146
100,0,282,147
100,0,280,147
100,0,279,148
100,0,277,149
100,0,276,150
100,0,274,150
100,0,273,151
100,0,271,152
100,0,269,153
100,0,268,154
100,0,266,155
100,0,265,156
100,0,264,157
100,0,262,158
100,0,261,159
100,0,259,160
100,0,258,161
100,0,257,162
100,0,255,163
100,0,254,164
100,0,253,165
100,0,251,166
100,0,250,168
100,0,249,169
100,0,248,170
100,0,246,171
100,0,245,173
100,0,244,174
100,0,243,175
100,0,242,177
100,0,241,178
100,0,240,179
100,0,239,181
100,0,238,182
100,0,237,184
100,0,236,185
100,1,235,187
100,1,234,188
100,1,233,190
100,1,232,191
100,1,231,193
100,1,230,194
100,1,230,196
100,1,229,197
100,1,228,199
100,1,227,200
100,1,227,202
100,1,226,204
100,1,226,205
100,1,225,207
100,1,224,209
100,1,224,210
100,1,223,212
100,1,223,214
100,1,222,215
100,1,222,217
100,1,222,219
100,1,221,220
100,1,221,222
100,1,221,224
100,1,220,226
100,1,220,227
100,1,220,229
100,1,220,231
100,1,220,233
100,1,220,234
100,1,220,236
100,1,220,238
100,1,220,240
100,1,220,241
100,1,220,243
100,1,220,245
100,1,220,247
100,1,220,248
100,1,220,250
100,1,220,252
100,1,220,253
100,1,221,255
100,1,221,257
100,1,221,259
100,1,222,260
100,1,222,262
100,1,222,264
100,1,223,265
100,1,223,267
100,1,224,269
100,1,224,270
100,1,225,272
100,1,226,274
100,1,226,275
100,1,227,277
100,1,227,279
100,1,228,280
100,2,229,282
100,2,230,283
100,2,230,285
100,2,231,287
100,2,232,288
100,2,233,290
100,2,234,291
100,2,235,293
100,2,236,294
100,2,237,295
100,2,238,297
100,2,239,298
100,2,240,300
100,2,241,301
100,2,242,303
100,2,243,304
100,2,244,305
100,2,245,306
100,2,246,308
